21:55:06 (I) Initializing Kern v1.0
21:55:06 (I) Starting Kern Demo!
21:55:07 (I) Cursor location: X: 454.28906, Y: 148.25
21:55:07 (I) Cursor location: X: 452.71875, Y: 148.25
21:55:07 (I) Cursor location: X: 449.39453, Y: 149.07812
21:55:07 (I) Cursor location: X: 447.82422, Y: 149.07812
21:55:07 (I) Cursor location: X: 442.75, Y: 149.07812
21:55:07 (I) Cursor location: X: 437.67578, Y: 150.08984
21:55:07 (I) Cursor location: X: 432.60156, Y: 150.08984
21:55:07 (I) Cursor location: X: 427.52734, Y: 150.08984
21:55:07 (I) Cursor location: X: 424.20312, Y: 150.91797
21:55:07 (I) Cursor location: X: 423.48828, Y: 150.91797
21:55:07 (I) Cursor location: X: 420.16406, Y: 150.91797
21:55:07 (I) Cursor location: X: 418.59375, Y: 150.91797
21:55:07 (I) Cursor location: X: 417.02344, Y: 151.4375
21:55:07 (I) Cursor location: X: 416.3086, Y: 151.4375
21:55:07 (I) Cursor location: X: 414.73828, Y: 151.4375
21:55:07 (I) Cursor location: X: 414.3789, Y: 151.4375
21:55:07 (I) Kern shutting down. Goodbye!
